t_ms,x_mm,y_mm,heading_deg,v_mm_s,omega_rad_s,pwmL,pwmR
108,1808.5839584981113,500.0,0.0,866.3818992523062,0.0,2000,2000
109,1809.4525268415914,500.0,0.0,868.568343480014,0.0,2000,2000
110,1810.3232383348027,500.0,0.0,870.7114932112726,0.0,2000,2000
111,1811.1960505405373,500.0,0.0,872.8122057345498,0.0,2000,2000
112,1812.0709218619002,500.0,0.0,874.8713213628652,0.0,2000,2000
113,1812.94781152567,500.0,0.0,876.889663769925,0.0,2000,2000
114,1813.8266795659895,500.0,0.0,878.8680403196039,0.0,2000,2000
115,1814.7074868083785,500.0,0.0,880.8072423889002,0.0,2000,2000
116,1815.590194854063,500.0,0.0,882.7080456844983,0.0,2000,2000
117,1816.474766064616,500.0,0.0,884.5712105530606,0.0,2000,2000
118,1817.3611635469015,500.0,0.0,886.3974822853771,0.0,2000,2000
119,1818.249351138316,500.0,0.0,888.1875914144914,0.0,2000,2000
120,1819.139293392324,500.0,0.0,889.9422540079236,0.0,2000,2000
121,1820.030955564278,500.0,0.0,891.6621719541067,0.0,2000,2000
122,1820.9243035975212,500.0,0.0,893.3480332431519,0.0,2000,2000
123,1821.8193041097632,500.0,0.0,895.0005122420532,0.0,2000,2000
124,1822.7159243797275,500.0,0.0,896.6202699644437,0.0,2000,2000
125,1823.6141323340626,500.0,0.0,898.207954335009,0.0,2000,2000
126,1824.5138965345113,500.0,0.0,899.7642004486671,0.0,2000,2000
127,1825.4151861653359,500.0,0.0,901.2896308246136,0.0,2000,2000
128,1826.317971020991,500.0,0.0,902.7848556553381,0.0,2000,2000
129,1827.2222214940418,500.0,0.0,904.2504730507096,0.0,2000,2000
130,1828.1279085633191,500.0,0.0,905.687069277228,0.0,2000,2000
131,1829.0350037823116,500.0,0.0,907.0952189925389,0.0,2000,2000
132,1829.9434792677869,500.0,0.0,908.4754854753039,0.0,2000,2000
133,1830.8533076886374,500.0,0.0,909.8284208505199,0.0,2000,2000
134,1831.7644622549478,500.0,0.0,911.1545663103765,0.0,2000,2000
135,1832.6769167072787,500.0,0.0,912.4544523307396,0.0,2000,2000
136,1833.590645306162,500.0,0.0,913.7285988833496,0.0,2000,2000
137,1834.505622821806,500.0,0.0,914.9775156438163,0.0,2000,2000
138,1835.4218245240013,500.0,0.0,916.2017021954963,0.0,2000,2000
139,1836.3392261722306,500.0,0.0,917.401648229333,0.0,2000,2000
140,1837.2578040059705,500.0,0.0,918.5778337397394,0.0,2000,2000
141,1838.177534735187,500.0,0.0,919.7307292166024,0.0,2000,2000
142,1839.0983955310205,500.0,0.0,920.8607958334849,0.0,2000,2000
143,1840.0203640166526,500.0,0.0,921.9684856321013,0.0,2000,2000
144,1840.9434182583557,500.0,0.0,923.0542417031406,0.0,2000,2000
145,1841.8675367567191,500.0,0.0,924.1184983635081,0.0,2000,2000
146,1842.7926984380492,500.0,0.0,925.1616813300582,0.0,2000,2000
147,1843.7188826459392,500.0,0.0,926.1842078898868,0.0,2000,2000
148,1844.6460691330064,500.0,0.0,927.1864870672517,0.0,2000,2000
149,1845.5742380527936,500.0,0.0,928.1689197871879,0.0,2000,2000
